,date,deposit_type,rate
0,2015-10-24,定活两便(定期),--
1,2015-10-24,定期存款整存整取(半年),1.30
2,2015-10-24,定期存款整存整取(二年),2.10
3,2015-10-24,定期存款整存整取(三个月),1.10
4,2015-10-24,定期存款整存整取(三年),2.75
5,2015-10-24,定期存款整存整取(五年),--
6,2015-10-24,定期存款整存整取(一年),1.50
7,2015-10-24,活期存款(不定期),0.35
8,2015-10-24,零存整取、整存零取、存本取息定期存款(三年),1.30
9,2015-10-24,零存整取、整存零取、存本取息定期存款(五年),--
10,2015-10-24,零存整取、整存零取、存本取息定期存款(一年),1.10
11,2015-10-24,通知存款(七天),1.35
12,2015-10-24,通知存款(一天),0.80
13,2015-10-24,协定存款(定期),1.15
14,2015-08-26,定活两便(定期),--
15,2015-08-26,定期存款整存整取(半年),1.55
16,2015-08-26,定期存款整存整取(二年),2.35
17,2015-08-26,定期存款整存整取(三个月),1.35
18,2015-08-26,定期存款整存整取(三年),3.00
19,2015-08-26,定期存款整存整取(五年),--
20,2015-08-26,定期存款整存整取(一年),1.75
21,2015-08-26,活期存款(不定期),0.35
22,2015-08-26,零存整取、整存零取、存本取息定期存款(三年),1.55
23,2015-08-26,零存整取、整存零取、存本取息定期存款(五年),--
24,2015-08-26,零存整取、整存零取、存本取息定期存款(一年),1.35
25,2015-08-26,通知存款(七天),1.35
26,2015-08-26,通知存款(一天),0.80
27,2015-08-26,协定存款(定期),1.15
28,2015-06-28,定活两便(定期),--
29,2015-06-28,定期存款整存整取(半年),1.80
30,2015-06-28,定期存款整存整取(二年),2.60
31,2015-06-28,定期存款整存整取(三个月),1.60
32,2015-06-28,定期存款整存整取(三年),3.25
33,2015-06-28,定期存款整存整取(五年),--
34,2015-06-28,定期存款整存整取(一年),2.00
35,2015-06-28,活期存款(不定期),0.35
36,2015-06-28,零存整取、整存零取、存本取息定期存款(三年),1.80
37,2015-06-28,零存整取、整存零取、存本取息定期存款(五年),--
38,2015-06-28,零存整取、整存零取、存本取息定期存款(一年),1.60
39,2015-06-28,通知存款(七天),1.35
40,2015-06-28,通知存款(一天),0.80
41,2015-06-28,协定存款(定期),1.15
42,2015-05-11,定活两便(定期),--
43,2015-05-11,定期存款整存整取(半年),2.05
44,2015-05-11,定期存款整存整取(二年),2.85
45,2015-05-11,定期存款整存整取(三个月),1.85
46,2015-05-11,定期存款整存整取(三年),3.50
47,2015-05-11,定期存款整存整取(五年),--
48,2015-05-11,定期存款整存整取(一年),2.25
49,2015-05-11,活期存款(不定期),0.35
50,2015-05-11,零存整取、整存零取、存本取息定期存款(三年),2.05
51,2015-05-11,零存整取、整存零取、存本取息定期存款(五年),--
52,2015-05-11,零存整取、整存零取、存本取息定期存款(一年),1.85
53,2015-05-11,通知存款(七天),1.35
54,2015-05-11,通知存款(一天),0.80
55,2015-05-11,协定存款(定期),1.15
56,2015-03-01,定活两便(定期),--
57,2015-03-01,定期存款整存整取(半年),2.30
58,2015-03-01,定期存款整存整取(二年),3.10
59,2015-03-01,定期存款整存整取(三个月),2.10
60,2015-03-01,定期存款整存整取(三年),3.75
61,2015-03-01,定期存款整存整取(五年),--
62,2015-03-01,定期存款整存整取(一年),2.50
63,2015-03-01,活期存款(不定期),0.35
64,2015-03-01,零存整取、整存零取、存本取息定期存款(三年),2.30
65,2015-03-01,零存整取、整存零取、存本取息定期存款(五年),--
66,2015-03-01,零存整取、整存零取、存本取息定期存款(一年),2.10
67,2015-03-01,通知存款(七天),1.35
68,2015-03-01,通知存款(一天),0.80
69,2015-03-01,协定存款(定期),1.15
70,2014-11-22,定活两便(定期),--
71,2014-11-22,定期存款整存整取(半年),2.55
72,2014-11-22,定期存款整存整取(二年),3.35
73,2014-11-22,定期存款整存整取(三个月),2.35
74,2014-11-22,定期存款整存整取(三年),4.00
75,2014-11-22,定期存款整存整取(五年),--
76,2014-11-22,定期存款整存整取(一年),2.75
77,2014-11-22,活期存款(不定期),0.35
78,2014-11-22,零存整取、整存零取、存本取息定期存款(三年),2.55
79,2014-11-22,零存整取、整存零取、存本取息定期存款(五年),--
80,2014-11-22,零存整取、整存零取、存本取息定期存款(一年),2.35
81,2014-11-22,通知存款(七天),1.35
82,2014-11-22,通知存款(一天),0.80
83,2014-11-22,协定存款(定期),1.15
84,2012-07-06,定活两便(定期),--
85,2012-07-06,定期存款整存整取(半年),2.80
86,2012-07-06,定期存款整存整取(二年),3.75
87,2012-07-06,定期存款整存整取(三个月),2.60
88,2012-07-06,定期存款整存整取(三年),4.25
89,2012-07-06,定期存款整存整取(五年),4.75
90,2012-07-06,定期存款整存整取(一年),3.00
91,2012-07-06,活期存款(不定期),0.35
92,2012-07-06,零存整取、整存零取、存本取息定期存款(三年),2.80
93,2012-07-06,零存整取、整存零取、存本取息定期存款(五年),--
94,2012-07-06,零存整取、整存零取、存本取息定期存款(一年),2.60
95,2012-07-06,通知存款(七天),1.35
96,2012-07-06,通知存款(一天),0.80
97,2012-07-06,协定存款(定期),1.15
98,2012-06-08,定活两便(定期),--
99,2012-06-08,定期存款整存整取(半年),3.05
100,2012-06-08,定期存款整存整取(二年),4.10
101,2012-06-08,定期存款整存整取(三个月),2.85
102,2012-06-08,定期存款整存整取(三年),4.65
103,2012-06-08,定期存款整存整取(五年),5.10
104,2012-06-08,定期存款整存整取(一年),3.25
105,2012-06-08,活期存款(不定期),0.40
106,2012-06-08,零存整取、整存零取、存本取息定期存款(三年),3.05
107,2012-06-08,零存整取、整存零取、存本取息定期存款(五年),3.25
108,2012-06-08,零存整取、整存零取、存本取息定期存款(一年),2.85
109,2012-06-08,通知存款(七天),1.39
110,2012-06-08,通知存款(一天),0.85
111,2012-06-08,协定存款(定期),1.21
112,2011-07-07,定活两便(定期),--
113,2011-07-07,定期存款整存整取(半年),3.30
114,2011-07-07,定期存款整存整取(二年),4.40
115,2011-07-07,定期存款整存整取(三个月),3.10
116,2011-07-07,定期存款整存整取(三年),5.00
117,2011-07-07,定期存款整存整取(五年),5.50
118,2011-07-07,定期存款整存整取(一年),3.50
119,2011-07-07,活期存款(不定期),0.50
120,2011-07-07,零存整取、整存零取、存本取息定期存款(三年),3.30
121,2011-07-07,零存整取、整存零取、存本取息定期存款(五年),3.50
122,2011-07-07,零存整取、整存零取、存本取息定期存款(一年),3.10
123,2011-07-07,通知存款(七天),1.49
124,2011-07-07,通知存款(一天),0.95
125,2011-07-07,协定存款(定期),1.31
126,2011-04-06,定活两便(定期),--
127,2011-04-06,定期存款整存整取(半年),3.05
128,2011-04-06,定期存款整存整取(二年),4.15
129,2011-04-06,定期存款整存整取(三个月),2.85
130,2011-04-06,定期存款整存整取(三年),4.75
131,2011-04-06,定期存款整存整取(五年),5.25
132,2011-04-06,定期存款整存整取(一年),3.25
133,2011-04-06,活期存款(不定期),0.50
134,2011-04-06,零存整取、整存零取、存本取息定期存款(三年),3.05
135,2011-04-06,零存整取、整存零取、存本取息定期存款(五年),3.25
136,2011-04-06,零存整取、整存零取、存本取息定期存款(一年),2.85
137,2011-04-06,通知存款(七天),1.49
138,2011-04-06,通知存款(一天),0.95
139,2011-04-06,协定存款(定期),1.31
140,2011-02-09,定活两便(定期),--
141,2011-02-09,定期存款整存整取(半年),2.80
142,2011-02-09,定期存款整存整取(二年),3.90
143,2011-02-09,定期存款整存整取(三个月),2.60
144,2011-02-09,定期存款整存整取(三年),4.50
145,2011-02-09,定期存款整存整取(五年),5.00
