code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,peg
000581,威孚高科,汽车配件,江苏,9.23,8.36,10.09,1886562.25,1155387.13,244332.41,341784.13,3.39,1.314,13.49,1.8,19980924,856619.19,8.49,40.45,40.52,20.98,28.04,55000.0,0.228182941904
600225,*ST松江,区域地产,天津,5.97,8.5,9.35,1378762.25,1165864.75,13110.32,114847.55,1.23,0.478,2.01,2.85,20000127,-36402.75,-0.39,24.11,192.04,17.02,80.1,24744.0,0.24761509747
601678,滨化股份,化工原料,山东,14.16,11.88,11.88,768280.94,189549.27,364066.22,127384.57,1.07,0.304,4.42,1.95,20100223,233097.52,1.96,48.8,653.06,26.22,11.77,43211.0,0.290163934426
600758,红阳能源,煤炭开采,辽宁,13.51,5.63,13.31,1657647.88,698625.88,698647.44,340929.41,2.56,0.338,4.22,2.17,19961029,61097.94,0.46,46.17,300.6,25.69,11.25,90753.0,0.292614251679
000651,格力电器,家用电器,广东,12.09,59.7,60.16,20457812.0,15862446.0,1725404.75,18340.06,0.03,1.571,8.72,4.36,19961118,4269911.5,7.1,40.67,47.64,31.94,13.66,370059.0,0.297270715515
601006,大秦铁路,铁路,山西,8.61,148.67,148.67,12128579.0,1903571.25,6840305.5,2473709.25,1.66,0.513,6.3,1.4,20060801,4397095.0,2.96,28.89,107.12,32.37,27.86,145646.0,0.298026998962
600585,海螺水泥,水泥,安徽,9.93,40.0,52.99,11332027.0,3706092.5,6119784.0,1068095.5,2.02,1.267,15.17,1.66,20020207,6145189.5,11.6,33.1,100.21,32.37,21.05,66728.0,0.3
000830,鲁西化工,农药化肥,山东,13.01,14.64,14.65,2601450.0,361676.91,1522975.75,218405.41,1.49,0.33,6.14,1.59,19980807,249251.09,1.7,42.5,330.38,19.13,7.56,83838.0,0.306117647059
601997,贵阳银行,银行,贵州,9.29,12.08,22.99,41419136.0,0.0,250784.59,486194.91,2.12,0.827,9.69,1.59,20160816,960598.19,4.18,29.99,23.26,0.0,33.48,87383.0,0.309769923308
600340,华夏幸福,区域地产,河北,8.93,29.55,29.55,32453978.0,29856844.0,275748.84,486697.91,1.65,1.816,12.53,2.59,20031230,1744485.25,5.9,26.44,35.65,57.52,24.11,146568.0,0.337745839637
600978,宜华生活,家居用品,广东,16.5,14.83,14.83,1716407.38,968777.81,376190.91,245922.92,1.66,0.317,5.24,2.0,20040824,342111.19,2.31,48.04,20.69,37.89,14.14,81089.0,0.343463780183
000708,大冶特钢,特种钢,湖北,16.24,4.49,4.49,616485.5,341577.88,264026.84,48565.34,1.08,0.421,8.51,1.61,19970326,266155.28,5.92,47.19,30.0,11.33,3.91,24527.0,0.344140707777
002597,金禾实业,化工原料,安徽,12.23,5.59,5.64,403230.34,240362.22,129023.36,48870.6,0.87,0.85,4.84,4.34,20110707,146725.19,2.6,35.4,104.88,30.8,21.46,27936.0,0.345480225989
000631,顺发恒业,区域地产,吉林,16.62,24.33,24.33,1478879.88,1295434.13,1011.8,139033.52,0.57,0.124,2.32,1.78,19961122,151694.13,0.62,48.03,28.48,18.14,9.52,38031.0,0.346033728919
600368,五洲交通,路桥,广西,11.15,8.34,8.34,1094240.25,355125.16,642527.0,48939.05,0.59,0.276,3.79,1.63,20001221,145397.27,1.74,32.19,59.03,64.4,29.1,57413.0,0.346380863622
000488,晨鸣纸业,造纸,山东,10.34,11.06,19.36,9176811.0,4270458.5,2853678.25,614925.75,3.18,0.75,11.75,1.59,20001120,711226.94,3.67,29.63,85.86,30.69,12.7,94435.0,0.348970637867
